x,y,z,predicted_x,predicted_y,predicted_z
4.74,25.4,8.66,4.739999999999997,25.4,8.659999999999998
60.43,25.4,46.12,60.429999999999986,25.4,46.120000000000026
48.98,25.4,42.96,48.97999999999998,25.4,42.96
35.24,25.4,9.17,35.24,25.4,9.636666666666668
14.14,25.4,12.21,14.139999999999999,25.4,12.21000000000001
45.7,25.4,13.929999999999998,45.700000000000024,25.4,13.92999999999999
62.36000000000001,25.4,10.57,62.36000000000003,25.4,10.569999999999993
25.53,25.4,4.7,25.529999999999983,25.4,4.700000000000001
52.6,25.4,4.99,52.60000000000003,25.4,4.989999999999995
68.26,25.4,47.48,68.25999999999999,25.4,47.47999999999998
67.92,25.4,3.61,67.92000000000004,25.4,3.6100000000000017
68.05,25.4,12.01,68.04999999999995,25.4,12.01
14.14,25.4,12.21,14.139999999999999,25.4,12.21000000000001
67.92,25.4,3.61,67.92000000000004,25.4,3.6100000000000017
23.449999999999996,25.4,50.06,23.450000000000028,25.4,50.060000000000024
25.53,25.4,4.7,25.529999999999983,25.4,4.700000000000001
67.92,25.4,3.61,67.92000000000004,25.4,3.6100000000000017
57.77,25.4,39.66,57.77000000000003,25.4,39.660000000000004
57.77,25.4,39.66,57.77000000000003,25.4,39.660000000000004
50.15,25.4,48.29,50.15000000000002,25.4,48.29
11.93,25.4,6.85,11.929999999999998,25.4,6.85
25.53,25.4,4.7,35.24,25.4,12.21000000000001
68.05,25.4,12.01,68.04999999999995,25.4,12.009999999999996
23.449999999999996,25.4,50.06,23.450000000000028,25.4,50.060000000000024
23.449999999999996,25.4,50.06,23.450000000000028,25.4,50.060000000000024
60.28,25.4,28.01,60.28000000000007,25.4,28.00999999999999
14.14,25.4,12.21,14.139999999999999,25.4,12.21000000000001
11.93,25.4,6.85,11.929999999999998,25.4,6.85
60.43,25.4,46.12,60.429999999999986,25.4,46.120000000000026
11.93,25.4,6.85,11.929999999999998,25.4,6.85
4.74,25.4,8.66,4.739999999999997,25.4,8.659999999999998
11.93,25.4,6.85,11.929999999999998,25.4,6.85
60.43,25.4,46.12,60.43,25.4,46.120000000000026
25.53,25.4,4.7,25.529999999999983,25.4,4.700000000000001
60.43,25.4,46.12,60.429999999999986,25.4,46.120000000000026
67.92,25.4,3.61,67.92000000000004,25.4,3.6100000000000017
68.26,25.4,47.48,68.25999999999999,25.4,47.47999999999998
59.5,25.4,20.259999999999998,59.49999999999999,25.4,20.25999999999999
3.68,25.4,14.47,3.6799999999999975,25.4,14.47
52.6,25.4,4.99,52.6,25.4,4.989999999999995
4.74,25.4,8.66,4.739999999999997,25.4,8.659999999999998
4.74,25.4,8.66,4.739999999999997,25.4,8.659999999999998
25.53,25.4,4.7,25.529999999999983,25.4,4.700000000000001
4.74,25.4,8.66,4.386666666666667,25.4,8.659999999999998
60.43,25.4,46.12,60.429999999999986,25.4,46.120000000000026
68.26,25.4,47.48,68.25999999999999,25.4,47.47999999999998
25.53,25.4,4.7,25.529999999999983,25.4,4.700000000000001
33.44,25.4,49.290000000000006,33.43999999999999,25.4,49.290000000000006
67.98,25.4,21.72,67.98000000000005,25.4,21.719999999999985
57.77,25.4,39.66,57.77000000000003,25.4,39.660000000000004
68.26,25.4,47.48,68.25999999999999,25.4,47.47999999999998
60.64,25.4,3.74,60.63999999999997,25.4,3.7399999999999975
60.28,25.4,28.01,60.28000000000007,25.4,28.00999999999999
11.93,25.4,6.85,11.929999999999998,25.4,6.85
14.14,25.4,12.21,14.139999999999999,25.4,12.21000000000001
67.92,25.4,3.61,67.92000000000004,25.4,3.6100000000000017
60.64,25.4,3.74,60.63999999999997,25.4,3.7399999999999975
60.43,25.4,46.12,60.429999999999986,25.4,46.120000000000026
69.28,25.4,36.00999999999999,69.27999999999999,25.4,36.00999999999999
35.24,25.4,9.17,35.24,25.4,9.170000000000007
50.15,25.4,48.29,50.15000000000002,25.4,48.29
50.15,25.4,48.29,50.15000000000002,25.4,48.29
45.7,25.4,13.929999999999998,45.700000000000024,25.4,13.92999999999999
60.28,25.4,28.01,60.28000000000007,25.4,28.009999999999998
14.14,25.4,12.21,14.139999999999999,25.4,12.209999999999999
67.92,25.4,3.61,67.92000000000004,25.4,3.6100000000000017
59.5,25.4,20.259999999999998,59.49999999999999,25.4,20.25999999999999
62.36000000000001,25.4,10.57,62.36000000000003,25.4,10.569999999999993
57.77,25.4,39.66,57.77000000000003,25.4,39.660000000000004
14.14,25.4,12.21,14.139999999999999,25.4,12.21000000000001
35.24,25.4,9.17,35.24,25.4,9.170000000000007
57.53,25.4,34.71,57.53000000000001,25.4,34.70999999999999
48.98,25.4,42.96,48.98000000000001,25.4,42.96
33.44,25.4,49.290000000000006,33.43999999999999,25.4,49.290000000000006
62.36000000000001,25.4,10.57,62.36000000000003,25.4,10.569999999999993
67.98,25.4,21.72,67.98000000000005,25.4,21.719999999999985
57.77,25.4,39.66,57.77000000000003,25.4,39.660000000000004
52.6,25.4,4.99,52.60000000000003,25.4,4.989999999999995
23.449999999999996,25.4,50.06,23.450000000000028,25.4,50.060000000000024
69.28,25.4,36.00999999999999,68.26,25.4,36.00999999999999
62.36000000000001,25.4,10.57,62.36000000000003,25.4,10.569999999999993
60.43,25.4,46.12,60.43,25.4,46.120000000000026
25.53,25.4,4.7,25.529999999999983,25.4,4.700000000000001
50.15,25.4,48.29,50.15000000000002,25.4,48.29
52.6,25.4,4.99,52.60000000000003,25.4,4.989999999999995
57.77,25.4,39.66,57.77000000000003,25.4,39.660000000000004
67.98,25.4,21.72,67.98000000000005,25.4,21.719999999999985
3.68,25.4,14.47,3.6799999999999975,25.4,14.470000000000004
69.28,25.4,36.00999999999999,69.27999999999999,25.4,36.00999999999999
57.53,25.4,34.71,57.53000000000001,25.4,34.70999999999999
59.5,25.4,20.259999999999998,59.500000000000036,25.4,20.25999999999999
50.15,25.4,48.29,50.15000000000002,25.4,48.29
52.6,25.4,4.99,52.60000000000003,25.4,4.989999999999995
35.24,25.4,9.17,35.24,25.4,9.170000000000007
50.15,25.4,48.29,50.15000000000002,25.4,48.29
50.15,25.4,48.29,50.15000000000002,25.4,48.29
25.53,25.4,4.7,25.53,25.4,4.700000000000001
57.77,25.4,39.66,57.77000000000003,25.4,39.660000000000004
33.44,25.4,49.290000000000006,33.43999999999999,25.4,49.290000000000006
57.53,25.4,34.71,57.530000000000044,25.4,34.71000000000001
52.6,25.4,4.99,52.60000000000003,25.4,4.989999999999995
69.28,25.4,36.00999999999999,69.27999999999999,25.4,36.00999999999999
50.15,25.4,48.29,50.15000000000002,25.4,48.29
