x,y,z,predicted_x,predicted_y,predicted_z
7.0,25.4,66.0,6.999999999999993,25.39903105590062,65.99999999999993
33.0,25.4,66.0,30.642523541052565,25.03101268312238,62.77629886301562
43.0,21.5,60.0,41.30052413774232,21.60400000000008,60.224002411091114
42.0,25.4,7.0,41.88986139972039,25.39257142857143,7.0114285714285645
32.0,25.4,61.0,32.57253094573756,25.07314285714286,61.34190476190463
7.0,25.4,66.0,8.310739689698812,25.320255487718804,62.601996715927655
33.0,21.5,10.0,33.83116345493962,21.97097142857151,10.27142857142856
18.0,21.5,48.0,19.692458226134068,21.69248739495806,44.065571095248394
33.0,21.5,59.0,25.687120021077618,21.645906122449066,57.251428571428654
14.0,21.5,57.0,13.999999999999984,21.500000000000103,57.000000000000114
21.0,25.4,13.0,22.136190476190446,25.33314285714286,13.09238095238098
5.0,25.4,46.99999999999999,5.034285714285704,25.4,46.982925113005656
32.0,25.4,61.0,29.257926199533692,24.631142857142866,58.89523809523801
11.0,25.4,6.0,10.713333333333354,25.4,6.127619047619033
6.0,25.4,20.0,6.197523809523795,25.4,20.192380952380915
55.0,21.5,55.0,54.7323809523811,21.500000000000128,55.79523809523821
5.0,25.4,60.0,4.99999999999999,25.4,60.00000000000013
39.0,25.4,19.0,38.979644884009815,25.315789563729684,19.797795918367385
36.0,25.4,13.0,35.13555795457512,25.258822134168277,13.65056252203434
11.0,25.4,37.0,18.328156236109646,23.727677738034377,39.066081989263836
30.0,25.4,15.0,28.288715689912372,25.29228571428571,15.317142857142883
42.0,21.5,46.99999999999999,41.64843716594956,21.52518433539068,45.32106015465528
10.0,25.4,10.0,9.93619047619046,25.4,9.73809523809522
11.0,25.4,6.0,10.42761904761906,25.4,7.041904761904748
33.0,25.4,66.0,32.723970208828035,25.38514285714286,65.28952380952373
62.0,21.5,65.0,60.69333333333325,21.50000000000012,62.23428571428567
5.0,25.4,13.0,5.051428571428561,25.4,13.017142857142883
55.0,21.5,65.0,54.00190476190488,21.50000000000012,64.8999999999999
26.0,25.4,3.0,25.827041132242428,25.3928320802005,3.0780952380952304
45.0,25.4,17.0,44.92490519669552,25.395551724137928,16.988571428571397
22.0,25.4,5.0,21.705714285714336,25.4,5.036190476190466
26.0,25.4,3.0,25.184761904761967,25.4,3.31809523809523
45.0,21.5,5.0,43.834677394724665,21.500000000000107,5.6747186147186035
30.0,21.5,55.0,30.066026250194795,21.5000000000001,55.433333333333465
42.0,21.5,46.99999999999999,37.64652410946762,21.517915966386642,42.90045852505277
33.0,21.5,19.0,33.76456677316129,21.585428571428654,28.564929971988807
33.0,21.5,10.0,33.62873132907666,21.52971428571439,11.273333333333314
43.0,21.5,60.0,42.24832938399784,21.628678421383523,61.09837917775815
6.0,25.4,20.0,6.12380952380951,25.3972987012987,19.99999999999996
43.0,21.5,55.0,39.77238095238095,21.871428571428652,46.4495238095239
32.0,25.4,61.0,32.84559858485866,25.36657142857143,62.08285714285703
39.0,25.4,19.0,38.852295923647674,25.366571428571426,19.711428571428616
6.0,25.4,4.0,5.999999999999986,25.4,3.9999999999999893
37.0,21.5,4.0,36.42700660800854,21.50000000000011,4.148571428571417
45.0,25.4,17.0,44.62464545643579,25.38885714285714,16.853333333333303
38.0,21.5,69.0,38.08477006952907,21.59285714285723,68.74380952380957
33.0,21.5,59.0,32.772149518395196,21.55942857142866,59.52190476190481
45.0,21.5,11.0,44.99999999999994,21.500000000000117,10.998095238095264
42.0,21.5,46.99999999999999,33.921904761904784,21.73771428571437,44.202280424337545
46.99999999999999,25.4,45.0,34.522241318964745,22.328285714285787,40.12597729510453
32.0,21.5,66.0,32.142020247578536,21.55942857142866,63.748571428571374
10.0,25.4,10.0,9.818095238095236,25.4,9.027619047619037
33.0,21.5,59.0,33.1590371776252,21.552000000000092,59.245714285714314
46.99999999999999,25.4,45.0,46.2683465952039,24.85714460725248,44.980470132649565
49.0,25.4,50.0,48.85904761904776,25.177142857142865,49.96290452457624
32.0,25.4,61.0,32.452143337649645,25.26628571428572,60.03714285714271
62.0,21.5,65.0,60.89619047619035,21.52228571428582,64.84380952380943
55.0,21.5,55.0,54.837142857143,21.500000000000128,55.144761904762035
14.0,21.5,69.0,13.999999999999986,21.500000000000114,68.66857142857147
55.0,21.5,65.0,54.98285714285728,21.50000000000012,64.9304761904761
5.0,25.4,60.0,4.99999999999999,25.4,60.00000000000013
6.0,25.4,20.0,6.282857142857128,25.3972987012987,20.02095238095234
